"homograph"	"wordid"	"sentence"	"start"	"end"
"attribute"	"attribute_vrb"	"Meteorologists attribute this storm's devastation to the power of the El Nino climate cycle."	15	24
"attribute"	"attribute_nou"	"It distributes tuples based on the value intervals (ranges) of some attribute."	68	77
"attribute"	"attribute_nou"	"The ship, shields, and generators are not upgradeable, although the player is given a medium attribute ship."	93	102
"attribute"	"attribute_nou"	"His elemental attribute is Wind, and his dragon jewel is located on his left ear."	14	23
"attribute"	"attribute_vrb"	"Some sources attribute to him the sanctions against the Vestals."	13	22
"attribute"	"attribute_nou"	"The dove is an attribute of Saint Remigius, the patron saint of the village church."	15	24
"attribute"	"attribute_nou"	"B-tree nodes, however, are more economical in space because you don't need to store the color attribute for each node."	94	103
"attribute"	"attribute_nou"	"Ever continuing success remains a beautiful attribute of the world-renowned firm of Steinway & Sons."	44	53
"attribute"	"attribute_nou"	"The rapid turnaround time is an attractive attribute of point-of-care testing while patient awaits the results."	43	52
"attribute"	"attribute_nou"	"Skill and attribute development are dependent on ""Titles"" and their levels."	10	19
"attribute"	"attribute_vrb"	"Geologists attribute this to hydrogen sulfide seeping from the caldera bottom, forming sulfuric acid in the lake water."	11	20
"attribute"	"attribute_nou"	"Its most distinctive attribute is its relative immunity: the monsters in the dungeon do not harm it."	21	30
"attribute"	"attribute_nou"	"The Elasticsearch search engine supports OCC via the version attribute."	61	70
"attribute"	"attribute_vrb"	"In some sections of rural India, people attribute various medicinal properties to the cannabis plant."	40	49
"attribute"	"attribute_nou"	"The issue is how to account for this sort of agreement in attribute among things."	58	67
"attribute"	"attribute_vrb"	"Rajputs attribute a sword and shield as symbol of Rajput chivalry in every darshan."	8	17
"attribute"	"attribute_vrb"	"Many attribute Manley's victory to attracting business to Ottawa's high tech sector."	5	14
"attribute"	"attribute_vrb"	"In an interview she said: ""What I attribute my success?"	34	43
"attribute"	"attribute_vrb"	"While some attribute the enophthalmos of Horner's Syndrome to paralysis of the orbitalis muscle, this is inaccurate."	11	20
"attribute"	"attribute_vrb"	"Most observers attribute the rebels' success more to the ineptitude of Chad's government and national army than to outside assistance."	15	24
"attribute"	"attribute_nou"	"The military background of the organization was a useful attribute in an environment of tyranny and genocide."	57	66
"attribute"	"attribute_nou"	"The left hand will sometimes hold an attribute, often a scroll or leaf."	37	46
"attribute"	"attribute_vrb"	"They could attribute all the suspicious losses of the autumn to the capabilities of British Huff-Duff."	11	20
"attribute"	"attribute_nou"	"Sapphie and Luna's magic are examples of the Magical Blue attribute."	58	67
"attribute"	"attribute_nou"	"When the park operated as Geauga Lake & Wildwater Kingdom, the water park was the park's ""highest rated attribute""."	104	113
"attribute"	"attribute_nou"	"Algorithmic requirements differ substantially for relational (attribute) data management and for topological (feature) data management."	62	71
"attribute"	"attribute_nou"	"The attribute tumtumaniyya was given in the literature to the Himyaritic dialect as a form of mockery."	4	13
"attribute"	"attribute_nou"	"Using XML namespaces, XML documents may contain element or attribute names from more than one XML vocabulary."	59	68
"attribute"	"attribute_nou"	"The N-Joi group provided another important attribute."	43	52
"attribute"	"attribute_nou"	"This is a unique capacity and a powerful attribute to NATINEADS (NATO INtegrated and Extended Air Defense System)."	41	50
"attribute"	"attribute_vrb"	"Animist religions often, but not always, attribute gender to spirits considered to permeate the world and its events."	41	50
"attribute"	"attribute_nou"	"An attribute statement asserts that a subject is associated with certain attributes."	3	12
"attribute"	"attribute_nou"	"For example, suppose the training data contains a continuous attribute,."	61	70
"attribute"	"attribute_nou"	"For decades, rumors have circulated which attribute comments regarding Phil Keaggy to a host of guitar icons."	42	51
"attribute"	"attribute_nou"	"Moreover, desire, according to Samkhya, is an attribute of prakrti and cannot be thought to grow in God."	46	55
"attribute"	"attribute_vrb"	"Advocates of this hypothesis, such as Richard Elliott Friedman, attribute Levi's biblical genealogy to the ""Book of Generations""."	64	73
"attribute"	"attribute_nou"	"Similar to the standard column family, sorting is defined by an attribute."	64	73
"attribute"	"attribute_vrb"	"Some accounts attribute his death to poison, but he probably succumbed to pneumonia."	14	23
"attribute"	"attribute_nou"	"But which attribute is the greater — the attribute of goodness or the attribute of punishment (retribution)?"	10	19
"attribute"	"attribute_vrb"	"Other accounts attribute the name to Azim-us-Shaan, the Nayeb-e-Nazim of Dhaka during the early 18th century."	15	24
"attribute"	"attribute_nou"	"This, combined with early balancing issues, lead to extensive weight loss amongst player avatars which in turn cause attribute penalties."	117	126
"attribute"	"attribute_nou"	"Other historians point out Minton's strong commitment to his judicial principles as a valuable attribute."	95	104
"attribute"	"attribute_nou"	"An example of an attribute is (red gear) which means that gear has the attribute red."	71	80
"attribute"	"attribute_nou"	"XHTML uses XML's built in language-defining functionality attribute."	58	67
"attribute"	"attribute_vrb"	"Some attribute the decline to lower demand of Saris or higher number of imported Saris."	5	14
"attribute"	"attribute_nou"	"Because the distribution of scores on this attribute is relatively well known it is a highly evaluable attribute."	103	112
"attribute"	"attribute_nou"	"Sex is a ubiquitous, ancient, and inherent attribute of eukaryotic life."	43	52
"attribute"	"attribute_nou"	"Consequently it is a false assumption to hold that He has any positive attribute."	71	80
"attribute"	"attribute_vrb"	"Most noticeable was that he did not attribute sexual factors to the conditions of his male patients."	36	45
"attribute"	"attribute_vrb"	"Bowers does not attribute a cameraman for this production, but two possible candidates exist."	16	25
"attribute"	"attribute_vrb"	"Some anti-abortion groups have used the term ""post-abortion syndrome"" to refer to negative psychological effects which they attribute to abortion."	124	133
"attribute"	"attribute_nou"	"His attribute is the palm frond, which has been included as a charge in these arms."	4	13
"attribute"	"attribute_vrb"	"However, many scholarly researchers suggests a more gradual and organic development of the rosary, and some attribute it to Bl."	108	117
"attribute"	"attribute_nou"	"Any probabilities are computed from the attribute counts as needed."	40	49
"attribute"	"attribute_nou"	"Scan the other table, selecting any rows where the join attribute hashes to an empty entry in the hash table."	56	65
"attribute"	"attribute_vrb"	"An extension-based system known as Annoki was developed to help attribute specific parts of articles to specific authors."	64	73
"attribute"	"attribute_nou"	"That a given psychological attribute is a continuous quantity is a logically coherent and empirically testable hypothesis."	27	36
"attribute"	"attribute_vrb"	"We could attribute these changes to surrender, devotion, and their involvement in the premie community."	9	18
"attribute"	"attribute_nou"	"16 or 64 kilobyte address space for display, character shape and display attribute memory (dedicated, separate from system memory)."	73	82
