"homograph"	"wordid"	"sentence"	"start"	"end"
"advocate"	"advocate_nou"	"AnnMarie Thomas is a Mechanical Engineer, author, blogger, and advocate for early engineering education."	63	71
"advocate"	"advocate_vrb"	"Theorists such as Carne Ross advocate deliberative democracy as a complete alternative to representative democracy."	29	37
"advocate"	"advocate_nou"	"Kitt later became a vocal advocate for LGBT rights and publicly supported same-sex marriage, which she considered a civil right."	26	34
"advocate"	"advocate_nou"	"Human rights advocate Samantha Power was the inaugural appointee in 2006."	13	21
"advocate"	"advocate_vrb"	"This economic decline made the city's elite dependent on royal and ecclesiastical appointment and thus, reluctant to advocate independence."	117	125
"advocate"	"advocate_nou"	"Since then, she has become a global advocate in the fight against sexual violence."	36	44
"advocate"	"advocate_vrb"	"Beginning in the 1860s sportsmen began to organize and advocate for the preservation of wilderness areas and wildlife."	55	63
"advocate"	"advocate_nou"	"The Daily Times-Advocate, also called the Escondido Times-Advocate, was a daily newspaper published in Escondido, California."	16	24
"advocate"	"advocate_nou"	"Eric was a keen advocate of human rights and the separation of church and state."	16	24
"advocate"	"advocate_nou"	"Rohrbach was an advocate of eradicating native Africans in order to make room for German colonists."	16	24
"advocate"	"advocate_vrb"	"But the institute does not specifically advocate potential solutions to public problems, Climer added."	40	48
"advocate"	"advocate_nou"	"In 1997, he was profiled by the New York Times as an influential advocate of responsible online advertising."	65	73
"advocate"	"advocate_nou"	"Labadie supported localized public cooperation, and was an advocate for community control of water utilities, streets, and railroads."	59	67
"advocate"	"advocate_nou"	"An advocate is a person who argues for or supports a cause or policy."	3	11
"advocate"	"advocate_nou"	"She is a noteworthy member of the disabled community as a fierce advocate for equal rights for individuals with disabilities."	65	73
"advocate"	"advocate_nou"	"She is an advocate for art and education."	10	18
"advocate"	"advocate_nou"	"Luckenbach was also a strong advocate of Federal control of shipping rates."	29	37
"advocate"	"advocate_nou"	"She now works as an advocate fostering understanding for survivors of burns or other disfigurements."	20	28
"advocate"	"advocate_vrb"	"There is no way that I would approve or advocate for the monitoring of students at home."	40	48
"advocate"	"advocate_nou"	"After the raid of Hogwarts in Half-Blood Prince, Sprout is a staunch advocate of keeping Hogwarts open."	69	77
"advocate"	"advocate_nou"	"Advocate reports on closure of case on Timur Kuashev's death."	0	8
"advocate"	"advocate_nou"	"He was also an early advocate of the benefits of regularly drinking water throughout the day."	21	29
"advocate"	"advocate_nou"	"Ashok H. Desai is a Senior Advocate practicing in the Supreme Court of India."	27	35
"advocate"	"advocate_nou"	"She is a popular speaker as well as an advocate for peace and children of war."	39	47
"advocate"	"advocate_nou"	"Ryan Kim-Scout Sallans (born Kimberly Ann Sallans; 1979) is an American LGBT rights advocate and out trans man."	84	92
"advocate"	"advocate_nou"	"He is an Advocate & Solicitor of the High Court in Malaya and High Court in Sabah and Sarawak."	9	17
"advocate"	"advocate_nou"	"In 1879 he was admitted as an advocate/barrister in Ghent."	30	38
"advocate"	"advocate_vrb"	"Ferber does not advocate simply leaving a baby to cry."	16	24
"advocate"	"advocate_vrb"	"Hamlin was among the first to advocate enlisting African-American troops in the Union Army."	30	38
"advocate"	"advocate_vrb"	"Autua confronts Ewing and convinces him to advocate for Autua to join the crew as a free man."	43	51
"advocate"	"advocate_nou"	"However, apart from Germany, one does not necessarily have to be an advocate to practice law."	68	76
"advocate"	"advocate_nou"	"Prior to entering politics she was a youth advocate."	43	51
"advocate"	"advocate_nou"	"The highest level is the Senior Advocate Supreme Court."	32	40
"advocate"	"advocate_nou"	"He returned to Cape Colony in 1895 and was admitted as an advocate."	58	66
"advocate"	"advocate_nou"	"By her Ferguson had a daughter, who in 1730 married M. Gerard Vink, advocate, 's-Hertogenbosch."	68	76
"advocate"	"advocate_nou"	"He also was a good government advocate, supporting election law reform, conflict of interest laws, and legislative reapportionment."	30	38
"advocate"	"advocate_nou"	"Diggins has become an advocate against childhood obesity, a guest interviewer for ESPN, and a model for Nike."	22	30
"advocate"	"advocate_nou"	"His libertarian bent prevented him from pursuing a direct suit against Philip Morris, but he did become an anti-smoking advocate."	120	128
"advocate"	"advocate_nou"	"He held the part-time statutory appointment as Defence Force Advocate between 1993 and 1995."	61	69
"advocate"	"advocate_nou"	"The company is a strong advocate towards low trading leverages."	24	32
"advocate"	"advocate_nou"	"World's Worst Mom is hosted by columnist and Free Range Kids advocate, Lenore Skenazy."	61	69
"advocate"	"advocate_nou"	"He became an advocate in 1948 and served as an Advocate Depute from 1955."	13	21
"advocate"	"advocate_nou"	"At Microsoft, Hedrick was a prominent advocate of bridging the ""digital divide."""	38	46
"advocate"	"advocate_nou"	"An outspoken advocate of slavery as an institution, Bowles was sympathetic to the South during the American Civil War."	13	21
"advocate"	"advocate_nou"	"The prosecution was not conducted by the judge-advocate."	47	55
"advocate"	"advocate_nou"	"He ran on his credentials as a housing advocate in the Mission District."	39	47
"advocate"	"advocate_nou"	"He is the son of Deepak Juyal, an advocate & Alka Bakshi Juyal."	34	42
"advocate"	"advocate_nou"	"He was reappointed as the Judge Advocate General in 1952 and 1956."	32	40
"advocate"	"advocate_vrb"	"Islamist groups such as the Muslim Brotherhood advocate Islam as a comprehensive political solution, often in spite of being banned."	47	55
"advocate"	"advocate_nou"	"Juan Gonzales considers the paper as an advocate for the continuation of the quest for Latino Civil Rights."	40	48
"advocate"	"advocate_nou"	"P-POD is a strong advocate for youth development and is already tapping into the nearly 50% of independent Dominican voters."	18	26
"advocate"	"advocate_nou"	"As a pioneer advocate of democracy in the land of okpe, he also was pivotal to Nigeria."	13	21
"advocate"	"advocate_nou"	"Muloki was a strong advocate for the Girl Child Education programmes, and various other programmes in Busoga."	20	28
"advocate"	"advocate_vrb"	"Democrats call for ""affordable and quality health care,"" and many advocate an expansion of government intervention in this area."	66	74
"advocate"	"advocate_nou"	"Advocate P.M.A. Salam won the Kozhikode 2 with highest margin of the constituency in HIstory."	0	8
"advocate"	"advocate_nou"	"Currently she works in the Developer Advocate team at Dropbox."	37	45
"advocate"	"advocate_vrb"	"The main goal of the organisation is to advocate against pseudoscience, astrology and mysticism."	40	48
"advocate"	"advocate_nou"	"Darbishire was a particular advocate of women's right to education."	28	36
"advocate"	"advocate_nou"	"After obtaining a good education he became an Advocate in Paris."	46	54
"advocate"	"advocate_nou"	"Lyddiard has always been a strong advocate of an internationalisation of the UK theatre scene."	34	42
